Product,Width,Height,Weight,Fitz Price (Old),Fitz Price (2020),My Price,Shipping,Ratio,Area,$ per sq inch
,,,,,,,,,,
Metallic,10,8,0.5,7.5,10.125,29.35,16.5,1.25,80,0.09
Metallic,12,8,0.5,7.5,10.125,29.35,16.5,1.5,96,0.08
Metallic,10,10,0.5,11,14.85,42.34,16.5,1,100,0.11
Metallic,12,10,0.5,11,14.85,42.34,16.5,1.2,120,0.09
Metallic,12,12,0.5,16.5,22.275,61.86,16.5,1,144,0.11
Metallic,15,10,0.5,16.5,22.275,61.86,16.5,1.5,150,0.11
Metallic,16,12,0.5,16.5,22.275,61.86,16.5,1.333333333,192,0.09
Metallic,18,12,0.5,16.5,22.275,61.86,16.5,1.5,216,0.08
Metallic,16,16,0.5,26.4,35.64,94.22,16.5,1,256,0.10
Metallic,20,16,0.5,26.4,35.64,94.22,16.5,1.25,320,0.08
Metallic,18,18,0.5,29.7,40.095,104.21,16.5,1,324,0.09
Metallic,24,16,0.5,26.4,35.64,94.22,16.5,1.5,384,0.07
Metallic,20,20,0.5,33,44.55,113.80,16.5,1,400,0.08
Metallic,24,20,0.5,33,44.55,113.80,16.5,1.2,480,0.07
Metallic,24,24,0.5,39.6,53.46,131.80,16.5,1,576,0.07
Metallic,30,20,0.5,49,66.15,154.69,16.5,1.5,600,0.08
Metallic,30,24,0.5,49.5,66.825,155.82,16.5,1.25,720,0.07
Metallic,36,24,1,59.4,80.19,176.27,25,1.5,864,0.07
Metallic,30,30,1,74.25,100.2375,200.24,25,1,900,0.08
Metallic,30,40,1,90,121.5,218.70,25,0.75,1200,0.08
Metallic,45,30,1,111.4,150.39,270.70,25,1.5,1350,0.08
Metallic,40,40,1,121,163.35,294.03,25,1,1600,0.08
Metallic,60,40,1,181,244.35,439.83,25,1.5,2400,0.08
Canvas,12,8,1,75,101.25,201.23,25,1.5,96,0.78
Canvas,10,10,1,75,101.25,201.23,25,1,100,0.75
Canvas,12,12,1,88,118.8,215.27,25,1,144,0.61
Canvas,16,12,1,88,118.8,215.27,25,1.333333333,192,0.46
Canvas,18,12,1,88,118.8,215.27,25,1.5,216,0.41
Canvas,16,16,1,99,133.65,240.57,25,1,256,0.39
Canvas,20,16,1,125,168.75,303.75,25,1.25,320,0.39
Canvas,18,18,1,133,179.55,323.19,25,1,324,0.41
Canvas,24,16,1,158,213.3,383.94,25,1.5,384,0.41
Canvas,20,20,1,142,191.7,345.06,25,1,400,0.36
Canvas,24,20,1,158,213.3,383.94,25,1.2,480,0.33
Canvas,24,24,1,215,290.25,522.45,25,1,576,0.37
Canvas,30,20,1,182,245.7,442.26,25,1.5,600,0.30
Canvas,30,24,2,215,290.25,522.45,45,1.25,720,0.30
Canvas,36,24,2,254,342.9,617.22,45,1.5,864,0.29
Canvas,40,30,2,300,405,729.00,45,1.333333333,1200,0.25
Canvas,45,30,2,366,494.1,889.38,45,1.5,1350,0.27
Canvas,60,40,3,540,729,1312.20,55,1.5,2400,0.23
Matboard,8,6,1.5,8.15,11.0025,31.80,35,1.333333333,48,0.17
Matboard,9,6,1.5,8.15,11.0025,31.80,35,1.5,54,0.15
Matboard,12,8,1.5,21.15,28.5525,77.51,35,1.5,96,0.22
Matboard,12,12,1.5,19.95,26.9325,73.54,35,1,144,0.14
Matboard,18,12,1.5,32.8,44.28,113.23,35,1.5,216,0.15
Matboard,20,20,1.5,34.95,47.1825,119.29,35,1,400,0.09
Matboard,24,16,1.5,56.35,76.0725,170.35,35,1.5,384,0.15
Matboard,30,20,1.5,84.45,114.0075,212.05,35,1.5,600,0.14
Alumalux,12,8,1,47,63.45,150.09,25,1.5,96,0.49
Alumalux,12,12,1,71,95.85,195.68,25,1,144,0.49
Alumalux,14,11,1,82,110.7,209.56,25,1.272727273,154,0.53
Alumalux,18,12,1,106,143.1,257.58,25,1.5,216,0.49
Alumalux,16,16,1,125,168.75,303.75,25,1,256,0.49
Alumalux,20,16,1,136,183.6,330.48,25,1.25,320,0.43
Alumalux,24,16,1,164,221.4,398.52,25,1.5,384,0.43
Alumalux,20,20,1,170,229.5,413.10,25,1,400,0.43
Alumalux,30,20,1,255,344.25,619.65,25,1.5,600,0.43
Alumalux,30,24,1,307,414.45,746.01,25,1.25,720,0.43
Alumalux,36,24,1.5,368,496.8,894.24,35,1.5,864,0.43
Alumalux,30,30,1.5,383,517.05,930.69,35,1,900,0.43
Alumalux,40,30,1.5,511,689.85,1241.73,35,1.333333333,1200,0.43
Alumalux,45,30,3,562,758.7,1365.66,55,1.5,1350,0.42
Alumalux,60,38,3,971,1310.85,2359.53,55,1.578947368,2280,0.43
Acrylic,12,8,2,93,125.55,225.99,25,1.5,96,0.97
Acrylic,12,12,2,111,149.85,269.73,25,1,144,0.77
Acrylic,16,12,2,128,172.8,311.04,25,1.333333333,192,0.67
Acrylic,18,12,2,135,182.25,328.05,25,1.5,216,0.63
Acrylic,16,16,2,128,172.8,311.04,25,1,256,0.50
Acrylic,20,16,2,152,205.2,369.36,25,1.25,320,0.48
Acrylic,18,18,2,154,207.9,374.22,25,1,324,0.48
Acrylic,24,16,2,185,249.75,449.55,25,1.5,384,0.48
Acrylic,20,20,2,191,257.85,464.13,25,1,400,0.48
Acrylic,24,20,2,223,301.05,541.89,25,1.2,480,0.46
Acrylic,30,20,2,270,364.5,656.10,25,1.5,600,0.45
Acrylic,24,24,2,260,351,631.80,25,1,576,0.45
Acrylic,30,24,1.5,316,426.6,767.88,35,1.25,720,0.44
Acrylic,36,24,1.5,373,503.55,906.39,35,1.5,864,0.43
Acrylic,40,30,1.5,502,677.7,1219.86,35,1.333333333,1200,0.42
Acrylic,45,30,4,560,756,1360.80,55,1.5,1350,0.41
Acrylic,40,40,4,779,1051.65,1892.97,55,1,1600,0.49
Standard Frame,8,6,1.5,59,79.65,175.51,35,1.333333333,48,1.23
Standard Frame,10,8,1.5,76,102.6,202.53,35,1.25,80,0.95
Standard Frame,12,8,1.5,76,102.6,202.53,35,1.5,96,0.79
Standard Frame,16,11,1.5,97,130.95,235.71,35,1.454545455,176,0.55
Standard Frame,18,12,1.5,99,133.65,240.57,35,1.5,216,0.46
Standard Frame,20,16,1.5,142,191.7,345.06,35,1.25,320,0.44
Standard Frame,24,16,3,164,221.4,398.52,55,1.5,384,0.43
Standard Frame,30,20,3,180,243,437.40,55,1.5,600,0.30
Frame,10,8,1.5,66,89.1,187.91,35,1.25,80,0.83
Frame,12,8,1.5,72,97.2,197.12,35,1.5,96,0.75
Frame,12,12,1.5,90,121.5,218.70,35,1,144,0.63
Frame,16,12,1.5,104,140.4,252.72,35,1.333333333,192,0.54
Frame,18,12,1.5,118,159.3,286.74,35,1.5,216,0.55
Frame,16,16,1.5,125,168.75,303.75,35,1,256,0.49
Frame,20,16,1.5,140,189,340.20,35,1.25,320,0.44
Frame,18,18,1.5,140,189,340.20,35,1,324,0.43
Frame,20,20,1.5,154,207.9,374.22,35,1,400,0.39
Frame,24,16,1.5,154,207.9,374.22,35,1.5,384,0.40
Frame,24,20,1.5,168,226.8,408.24,35,1.2,480,0.35
Frame,30,20,4,198,267.3,481.14,55,1.5,600,0.33
Frame,30,24,4,210,283.5,510.30,55,1.25,720,0.29
Frame,36,24,4,230,310.5,558.90,55,1.5,864,0.27
Frame,45,30,10,276,372.6,670.68,150,1.5,1350,0.20